codigo_municipio;nome_municipio;uf;estado;latitude;longitude
352640;Laranjal Paulista;SP;Sao Paulo;-23,0506;-47,8375
352650;Lavínia;SP;Sao Paulo;-21,1639;-51,0412
352660;Lavrinhas;SP;Sao Paulo;-22,57;-44,9024
352670;Leme;SP;Sao Paulo;-22,1809;-47,3841
352680;Lençóis Paulista;SP;Sao Paulo;-22,6027;-48,8037
352690;Limeira;SP;Sao Paulo;-22,566;-47,397
352700;Lindóia;SP;Sao Paulo;-22,5226;-46,65
352710;Lins;SP;Sao Paulo;-21,6718;-49,7526
352720;Lorena;SP;Sao Paulo;-22,7334;-45,1197
352725;Lourdes;SP;Sao Paulo;-20,966;-50,2263
352730;Louveira;SP;Sao Paulo;-23,0856;-46,9484
352740;Lucélia;SP;Sao Paulo;-21,7182;-51,0215
352750;Lucianópolis;SP;Sao Paulo;-22,4294;-49,522
352760;Luís Antônio;SP;Sao Paulo;-21,55;-47,7801
352770;Luiziânia;SP;Sao Paulo;-21,6737;-50,3294
352780;Lupércio;SP;Sao Paulo;-22,4146;-49,818
352790;Lutécia;SP;Sao Paulo;-22,3384;-50,394
352800;Macatuba;SP;Sao Paulo;-22,5002;-48,7102
352810;Macaubal;SP;Sao Paulo;-20,8022;-49,9687
352820;Macedônia;SP;Sao Paulo;-20,1444;-50,1973
352830;Magda;SP;Sao Paulo;-20,6445;-50,2305
352840;Mairinque;SP;Sao Paulo;-23,5398;-47,185
352850;Mairiporã;SP;Sao Paulo;-23,3171;-46,5897
352860;Manduri;SP;Sao Paulo;-23,0056;-49,3202
352870;Marabá Paulista;SP;Sao Paulo;-22,1068;-51,9617
352880;Maracaí;SP;Sao Paulo;-22,6149;-50,6713
352885;Marapoama;SP;Sao Paulo;-21,2587;-49,13
352890;Mariápolis;SP;Sao Paulo;-21,7959;-51,1824
352900;Marília;SP;Sao Paulo;-22,2171;-49,9501
352910;Marinópolis;SP;Sao Paulo;-20,4389;-50,8254
352920;Martinópolis;SP;Sao Paulo;-22,1462;-51,1709
352930;Matão;SP;Sao Paulo;-21,6025;-48,364
352940;Mauá;SP;Sao Paulo;-23,6677;-46,4613
352950;Mendonça;SP;Sao Paulo;-21,1757;-49,5791
352960;Meridiano;SP;Sao Paulo;-20,3579;-50,1811
352965;Mesópolis;SP;Sao Paulo;-19,9684;-50,6326
352970;Miguelópolis;SP;Sao Paulo;-20,1796;-48,031
352980;Mineiros do Tietê;SP;Sao Paulo;-22,412;-48,451
353000;Mira Estrela;SP;Sao Paulo;-19,9789;-50,139
352990;Miracatu;SP;Sao Paulo;-24,2766;-47,4625
353010;Mirandópolis;SP;Sao Paulo;-21,1313;-51,1035
353020;Mirante do Paranapanema;SP;Sao Paulo;-22,2904;-51,9084
353030;Mirassol;SP;Sao Paulo;-20,8169;-49,5206
353040;Mirassolândia;SP;Sao Paulo;-20,6179;-49,4617
353050;Mococa;SP;Sao Paulo;-21,4647;-47,0024
353060;Mogi das Cruzes;SP;Sao Paulo;-23,5208;-46,1854
353070;Mogi Guaçu;SP;Sao Paulo;-22,3675;-46,9428
353080;Mogi Mirim;SP;Sao Paulo;-22,4332;-46,9532
353090;Mombuca;SP;Sao Paulo;-22,9285;-47,559
353100;Monções;SP;Sao Paulo;-20,8509;-50,0975
353110;Mongaguá;SP;Sao Paulo;-24,0809;-46,6265
353120;Monte Alegre do Sul;SP;Sao Paulo;-22,6817;-46,681
353130;Monte Alto;SP;Sao Paulo;-21,2655;-48,4971
353140;Monte Aprazível;SP;Sao Paulo;-20,768;-49,7184
353150;Monte Azul Paulista;SP;Sao Paulo;-20,9065;-48,6387
353160;Monte Castelo;SP;Sao Paulo;-21,2981;-51,5679
353180;Monte Mor;SP;Sao Paulo;-22,945;-47,3122
353170;Monteiro Lobato;SP;Sao Paulo;-22,9544;-45,8407
353190;Morro Agudo;SP;Sao Paulo;-20,7288;-48,0581
353200;Morungaba;SP;Sao Paulo;-22,8811;-46,7896
353205;Motuca;SP;Sao Paulo;-21,5103;-48,1538
353210;Murutinga do Sul;SP;Sao Paulo;-20,9908;-51,2774
353215;Nantes;SP;Sao Paulo;-22,6156;-51,24
353220;Narandiba;SP;Sao Paulo;-22,4057;-51,5274
353230;Natividade da Serra;SP;Sao Paulo;-23,3707;-45,4468
353240;Nazaré Paulista;SP;Sao Paulo;-23,1747;-46,3983
353250;Neves Paulista;SP;Sao Paulo;-20,843;-49,6358
353260;Nhandeara;SP;Sao Paulo;-20,6945;-50,0436
353270;Nipoã;SP;Sao Paulo;-20,9114;-49,7833
353280;Nova Aliança;SP;Sao Paulo;-21,0156;-49,4986
353282;Nova Campina;SP;Sao Paulo;-24,1224;-48,9022
353284;Nova Canaã Paulista;SP;Sao Paulo;-20,3836;-50,9483
353286;Nova Castilho;SP;Sao Paulo;-20,7615;-50,3477
353290;Nova Europa;SP;Sao Paulo;-21,7765;-48,5705
353300;Nova Granada;SP;Sao Paulo;-20,5321;-49,3123
353310;Nova Guataporanga;SP;Sao Paulo;-21,332;-51,6447
353320;Nova Independência;SP;Sao Paulo;-21,1026;-51,4905
353330;Nova Luzitânia;SP;Sao Paulo;-20,856;-50,2617
353340;Nova Odessa;SP;Sao Paulo;-22,7832;-47,2941
353325;Novais;SP;Sao Paulo;-20,9893;-48,9141
353350;Novo Horizonte;SP;Sao Paulo;-21,4651;-49,2234
