id_hospital;nome_hospital;codigo_municipio;nome_municipio_hospital;uf_hospital;estado_hospital;latitude_hospital;longitude_hospital;leitos_totais;leitos_sus;leitos_nao_sus;tipo_unidade;nivel_hierarquico;natureza_juridica;porte_hospitalar;alta_complexidade;percentual_sus
2096498;Hospital CNES 2096498;353070;Mogi Guaçu;SP;Sao Paulo;-22,3675;-46,9428;756;756;0;05;;1244;Grande Porte;Baixa/Media Complexidade;100,0
2096617;Hospital CNES 2096617;354080;Potirendaba;SP;Sao Paulo;-21,0428;-49,3815;384;336;48;05;;3999;Grande Porte;Baixa/Media Complexidade;87,5
2097117;Hospital CNES 2097117;354980;São José do Rio Preto;SP;Sao Paulo;-20,8113;-49,3758;1632;0;1632;05;;2054;Grande Porte;Baixa/Media Complexidade;0,0
2097613;Hospital CNES 2097613;354980;São José do Rio Preto;SP;Sao Paulo;-20,8113;-49,3758;2748;244;2504;05;;3999;Grande Porte;Baixa/Media Complexidade;8,88
2097648;Hospital CNES 2097648;354980;São José do Rio Preto;SP;Sao Paulo;-20,8113;-49,3758;2508;1920;588;07;;3999;Grande Porte;Baixa/Media Complexidade;76,56
2097656;Hospital CNES 2097656;354980;São José do Rio Preto;SP;Sao Paulo;-20,8113;-49,3758;60;0;60;62;;2062;Medio Porte;Baixa/Media Complexidade;0,0
2097877;Hospital CNES 2097877;355620;Valinhos;SP;Sao Paulo;-22,9698;-46,9974;1248;804;444;05;;3999;Grande Porte;Baixa/Media Complexidade;64,42
2680785;Hospital CNES 2680785;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;140;0;140;05;;2054;Medio Porte;Baixa/Media Complexidade;0,0
2688255;Hospital CNES 2688255;350160;Americana;SP;Sao Paulo;-22,7374;-47,3331;24;0;24;62;;2062;Pequeno Porte;Baixa/Media Complexidade;0,0
2688433;Hospital CNES 2688433;350760;Bragança Paulista;SP;Sao Paulo;-22,9527;-46,5419;1771;793;978;05;;3999;Grande Porte;Baixa/Media Complexidade;44,78
2688514;Hospital CNES 2688514;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;924;924;0;07;;1023;Grande Porte;Baixa/Media Complexidade;100,0
2688522;Hospital CNES 2688522;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;3372;3180;192;07;;3999;Grande Porte;Baixa/Media Complexidade;94,31
2688565;Hospital CNES 2688565;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;3504;0;3504;05;;3999;Grande Porte;Baixa/Media Complexidade;0,0
2688573;Hospital CNES 2688573;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;2430;2310;120;05;;1023;Grande Porte;Baixa/Media Complexidade;95,06
2688581;Hospital CNES 2688581;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;5484;5484;0;05;;3999;Grande Porte;Baixa/Media Complexidade;100,0
2688603;Hospital CNES 2688603;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;3960;0;3960;05;;3999;Grande Porte;Baixa/Media Complexidade;0,0
