id_hospital;codigo_municipio;nome_municipio_hospital;uf_hospital;estado_hospital;latitude_hospital;longitude_hospital;leitos_totais;leitos_sus;leitos_nao_sus;esfera;tipo_unidade;nivel_hierarquico;natureza_juridica;porte_hospitalar;alta_complexidade;percentual_sus
6356184;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;9;6;3;;61;;3999;Micro Porte;Baixa/Media Complexidade;66,67
6387640;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;6;6;0;;70;;1031;Micro Porte;Baixa/Media Complexidade;100,0
6391869;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;11;11;0;;62;;1031;Micro Porte;Baixa/Media Complexidade;100,0
6398081;350610;Bebedouro;SP;Sao Paulo;-20,9491;-48,4791;5;5;0;;70;;1244;Micro Porte;Baixa/Media Complexidade;100,0
6403069;353440;Osasco;SP;Sao Paulo;-23,5324;-46,7916;59;0;59;;05;;2062;Medio Porte;Baixa/Media Complexidade;0,0
6426247;350850;Caçapava;SP;Sao Paulo;-23,0992;-45,7076;20;0;20;;05;;2143;Pequeno Porte;Baixa/Media Complexidade;0,0
6430082;350600;Bauru;SP;Sao Paulo;-22,3246;-49,0871;3;0;3;;62;;2062;Micro Porte;Baixa/Media Complexidade;0,0
6430120;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;123;0;123;;07;;3999;Medio Porte;Baixa/Media Complexidade;0,0
6443281;351880;Guarulhos;SP;Sao Paulo;-23,4538;-46,5333;6;6;0;;70;;1244;Micro Porte;Baixa/Media Complexidade;100,0
6451098;350390;Arujá;SP;Sao Paulo;-23,3965;-46,32;36;36;0;;05;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
6457746;353930;Pirassununga;SP;Sao Paulo;-21,996;-47,4257;1;0;1;;62;;2062;Micro Porte;Baixa/Media Complexidade;0,0
6471331;353870;Piracicaba;SP;Sao Paulo;-22,7338;-47,6476;2;0;2;;05;;2062;Micro Porte;Baixa/Media Complexidade;0,0
6473954;350210;Andradina;SP;Sao Paulo;-20,8948;-51,3786;1;0;1;;36;;2062;Micro Porte;Baixa/Media Complexidade;0,0
6479200;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;24;24;0;;62;;1023;Pequeno Porte;Baixa/Media Complexidade;100,0
6492398;354990;São José dos Campos;SP;Sao Paulo;-23,1896;-45,8841;89;0;89;;05;;2143;Medio Porte;Baixa/Media Complexidade;0,0
6532527;354980;São José do Rio Preto;SP;Sao Paulo;-20,8113;-49,3758;2;0;2;;62;;2054;Micro Porte;Baixa/Media Complexidade;0,0
6548008;352590;Jundiaí;SP;Sao Paulo;-23,1852;-46,8974;1;0;1;;36;;2062;Micro Porte;Baixa/Media Complexidade;0,0
6569757;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;9;0;9;;05;;3999;Micro Porte;Baixa/Media Complexidade;0,0
6591620;350570;Barueri;SP;Sao Paulo;-23,5057;-46,879;31;31;0;;21;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
6603378;353580;Paranapanema;SP;Sao Paulo;-23,3862;-48,7214;21;21;0;;05;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
6605605;350950;Campinas;SP;Sao Paulo;-22,9053;-47,0659;35;0;35;;07;;2062;Pequeno Porte;Baixa/Media Complexidade;0,0
6614426;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;118;0;118;;07;;3069;Medio Porte;Baixa/Media Complexidade;0,0
6618332;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;4;0;4;;07;;2062;Micro Porte;Baixa/Media Complexidade;0,0
6618812;354870;São Bernardo do Campo;SP;Sao Paulo;-23,6914;-46,5646;5;5;0;;70;;1244;Micro Porte;Baixa/Media Complexidade;100,0
6625649;351880;Guarulhos;SP;Sao Paulo;-23,4538;-46,5333;126;0;126;;05;;2143;Medio Porte;Baixa/Media Complexidade;0,0
6655416;354780;Santo André;SP;Sao Paulo;-23,6737;-46,5432;18;18;0;;62;;1023;Pequeno Porte;Baixa/Media Complexidade;100,0
6658024;355410;Taubaté;SP;Sao Paulo;-23,0104;-45,5593;10;10;0;;70;;1244;Micro Porte;Baixa/Media Complexidade;100,0
6668127;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;8;8;0;;70;;1031;Micro Porte;Baixa/Media Complexidade;100,0
6668143;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;152;0;152;;05;;2054;Grande Porte;Baixa/Media Complexidade;0,0
6669727;351620;Franca;SP;Sao Paulo;-20,5352;-47,4039;14;14;0;;36;;1023;Micro Porte;Baixa/Media Complexidade;100,0
6673481;350950;Campinas;SP;Sao Paulo;-22,9053;-47,0659;4;0;4;;62;;2062;Micro Porte;Baixa/Media Complexidade;0,0
6680968;353200;Morungaba;SP;Sao Paulo;-22,8811;-46,7896;12;12;0;;05;;1244;Micro Porte;Baixa/Media Complexidade;100,0
6709400;354780;Santo André;SP;Sao Paulo;-23,6737;-46,5432;3;0;3;;62;;2062;Micro Porte;Baixa/Media Complexidade;0,0
6729150;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;11;0;11;;62;;3999;Micro Porte;Baixa/Media Complexidade;0,0
6754775;354580;Santa Bárbara d'Oeste;SP;Sao Paulo;-22,7553;-47,4143;20;20;0;;73;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
6783449;355410;Taubaté;SP;Sao Paulo;-23,0104;-45,5593;19;0;19;;07;;2062;Pequeno Porte;Baixa/Media Complexidade;0,0
